noun,wikipedia
thermopile,A thermopile is an electronic device that converts thermal energy into electrical energy.
thermoplastic,"A thermoplastic, or thermosoftening plastic, is any plastic polymer material that becomes pliable or moldable at a certain elevated temperature and solidifies upon cooling.Most thermoplastics have a high molecular weight."
thermoreceptor,"A thermoreceptor is a non-specialised sense receptor, or more accurately the receptive portion of a sensory neuron, that codes absolute and relative changes in temperature, primarily within the innocuous range."
thermosphere,The thermosphere is the layer in the Earth's atmosphere directly above the mesosphere and below the exosphere.
thermostat,A thermostat is a regulating device component which senses the temperature of a physical system and performs actions so that the system's temperature is maintained near a desired  setpoint.
thermotropism,Thermotropism or thermotropic movement is the movement of an organism or a part of an organism in response to heat or changes from the environment's temperature.
thesaurus,"A thesaurus (pl.: thesauri or thesauruses), sometimes called a synonym dictionary or dictionary of synonyms, is a reference work which arranges words by their meanings (or in simpler terms, a book where you can find different words with same meanings to other words), sometimes as a hierarchy of broader and narrower terms, sometimes simply as lists of synonyms and antonyms."
thesis,"A thesis (pl.: theses), or dissertation (abbreviated diss.), is a document submitted in support of candidature for an academic degree or professional qualification presenting the author's research and findings."
theta,"Theta (UK: , US: ; uppercase: Θ or ϴ; lowercase: θ or ϑ; Ancient Greek: θῆτα thē̂ta [tʰɛ̂ːta]; Modern: θήτα thī́ta [ˈθita]) is the eighth letter of the Greek alphabet, derived from the Phoenician letter Teth ."
theurgy,"Theurgy (; from Greek  θεουργία theourgía), also known as divine magic, is one of two major branches of the magical arts, the other being practical magic or thaumaturgy."
thiamine,"Thiamine, also known as thiamin and vitamin B1, is a vitamin, an essential micronutrient for humans and animals."
thiazide,Thiazide () refers to both a class of sulfur-containing organic molecules and a class of diuretics based on the chemical structure of benzothiadiazine.
thiazine,"Thiazine  is an organic compound containing a ring of four carbon, one nitrogen and one sulfur atom."
thicket,"A thicket is a very dense stand of trees or tall shrubs, often dominated by only one or a few species, to the exclusion of all others."
thigh,"In anatomy, the thigh is the area between the hip (pelvis) and the knee."
thill,"Thill, also known as Thill Sharif or Thil, is a village in Jhelum District, Punjab, Pakistan."
thimble,A thimble is a small pitted cup worn on the finger that protects it from being pricked or poked by a needle while sewing.
thimbleweed,Thimbleweed is the common name of any of several plants with seed heads resembling a thimble.
thinning,"Thinning is a term used in agricultural sciences to mean the removal of some plants, or parts of plants, to make room for the growth of others."
thiobacillus,Thiobacillus is a genus of Gram-negative Betaproteobacteria.
thiocyanate,Thiocyanates are salts containing the  thiocyanate anion [SCN]−  (also known as rhodanide or rhodanate).
thioridazine,Thioridazine (Mellaril or Melleril) is a first generation antipsychotic drug belonging to the phenothiazine drug group and was previously widely used in the treatment of schizophrenia and psychosis.
thiotepa,"Thiotepa (INN), sold under the brand name Tepadina, is a medication used to treat cancer.Thiotepa is an organophosphorus compound with the formula (C2H4N)3PS. It is an analog of N,N′,N″-triethylenephosphoramide (TEPA), which contains tetrahedral phosphorus and is structurally akin to phosphate."
thiouracil,Thiouracil may refer to:
thirst,"Thirst is the craving for potable fluids, resulting in the basic instinct of animals to drink."
thirteenth,"In music or music theory, a thirteenth is the note thirteen scale degrees from the root of a chord and also the interval between the root and the thirteenth."
thistle,"Thistle is the common name of a group of flowering plants characterised by leaves with sharp prickles on the margins, mostly in the family Asteraceae."
thole,Thole is a surname.
thong,"The thong is a garment generally used as either underwear or in some countries, as a swimsuit."
thoracentesis,"Thoracentesis , also known as thoracocentesis (from Greek  θώραξ (thōrax, GEN thōrakos) 'chest, thorax', and  κέντησις (kentēsis) 'pricking, puncture'), pleural tap, needle thoracostomy, or needle decompression (often used term), is an invasive medical procedure to remove fluid or air from the pleural space for diagnostic or therapeutic purposes."
thoracotomy,A thoracotomy is a surgical procedure to gain access into the pleural space of the chest.
thorax,The thorax (pl.: thoraces or thoraxes) or chest is a part of the anatomy of mammals and other tetrapod animals located between the neck and the abdomen.
thorite,"Thorite, (Th,U)SiO4, is a rare nesosilicate of thorium that crystallizes in the tetragonal system and is isomorphous with zircon and hafnon."
thorium,Thorium is a chemical element.
thoroughbred,The Thoroughbred is a horse breed developed for horse racing.
thoroughfare,"A thoroughfare is a primary passage or way as a transit route through regularly trafficked areas, whether by road on dry land or, by 
extension, via watercraft or aircraft."
thortveitite,"Thortveitite is a rare mineral consisting of scandium yttrium silicate (Sc,Y)2Si2O7."
thou,The word thou () is a second-person singular pronoun in English.
thought,"In their most common sense, the terms thought and thinking refer to conscious cognitive processes that can happen independently of sensory stimulation."
thrall,A thrall  was a slave or serf in Scandinavian lands during the Viking Age.
thrasher,Thrashers are a New World group of passerine birds related to mockingbirds and New World catbirds.
threadfin,Threadfins are silvery grey perciform fish of the family Polynemidae.
threat,A threat is a communication of intent to inflict harm or loss on another person.
threesome,"In human sexuality, a threesome is commonly understood as ""a sexual interaction between three people whereby at least one engages in physical sexual behaviour with both the other individuals""."
threnody,"A threnody is a wailing ode, song, hymn or poem of mourning composed or performed as a memorial to a dead person."
threonine,Threonine (symbol Thr or T) is an amino acid that is used in the biosynthesis of proteins.
threshing,"Threshing, or thrashing, is the process of loosening the edible part of grain (or other crop) from the straw to which it is attached."
